0A;GNT;Amber Air
0B;BMS;Blue Air
0C;IBL;IBL Aviation
0D;DWT;Darwin Airline
0J;JCS;Jetclub
0V;VFC;Vietnam Air Services Company (VASCO)
1A;AGT;Amadeus IT Group
1I;AMB;Deutsche Rettungsflugwacht
1L;OSY;Open Skies Consultative Commission
1Z;APD;Sabre Pacific
2B;ARD;Aerocondor
2D;AOG;Aero VIP
2F;FTA;Frontier Flying Service
2G;CRG;Cargoitalia
2G*;MRR;San Juan Airlines
2J;VBW;Air Burkina
2K;GLG;Aerogal
2L;OAW;Helvetic Airways
2M;MDV;Moldavian Airlines
2N;NTJ;NextJet
2O;RNE;Air Salone
2P;GAP;Air Philippines
2Q;SNC;Air Cargo Carriers
2S;SDY;Island Express
2T;HAM;Haiti Ambassador Airlines
2U;GIP;Air Guinee Express
2W;WLC;Welcome Air
2Z;CGN;Chang An Airlines
3C;CMV;Calima Aviación
3G;AYZ;Atlant-Soyuz Airlines
3J;AAQ;Air Alliance
3K;JSA;Jetstar Asia Airways
3L;ISK;Intersky
3N;URG;Air Urga
3O;MAC;Air Arabia Maroc
3P;TNM;Tiara Air
3Q;CYH;China Yunnan Airlines
3R;GAI;Moskovia Airlines
3S;BOX;Aerologic
3S*;AEN;Aeroland Airways
3T;URN;Turan Air
3U;CSC;Sichuan Airlines
3V;TAY;TNT Airways
3W;EMX;Euromanx Airways
3W*;VNR;Wan Air
3X;JAC;Japan Air Commuter
4A;AKL;Air Kiribati
4C;ARE;Aires, Aerovías de Integración Regional, S.A.
4D;ASD;Air Sinai
4F;ECE;Air City
4G;GZP;Gazpromavia
4H;UBD;United Airways
4K*;AAS;Askari Aviation
4M;DSM;LATAM Argentina
4N;ANT;Air North Charter - Canada
4O;AIJ;Interjet
4R;SEK;Star East Airline
4S;FNC;Finalair Congo
4T;BHP;Belair Airlines
4U;GWI;Germanwings
4Y;AIB;Airbus Industrie
5A;AIP;Alpine Air Express
5C;ICL;CAL Cargo Air Lines
5D;SLI;Aeroméxico Connect
5F;CIR;Arctic Circle Air Service
5G;SSV;Skyservice Airlines
5J;CEB;Cebu Pacific
5K;HFY;Hi Fly
5L;RSU;AeroSur
5M;MNT;Montserrat Airways
5N;AUL;Nordavia
5O;FPO;Europe Airpost
5P;LLX;Small Planet Airlines
5T;MPE;Canadian North
5V;UKW;Lviv Airlines
5W;AEU;Astraeus
5X;UPS;United Parcel Service
5Y;GTI;Atlas Air
5Z;AFX;Airfreight Express
6A;CHP;Aviacsa
6B;BLX;TUIfly Nordic
6E;IGO;IndiGo Airlines
6G;AWW;Air Wales
6H;ISR;Israir
6I;IBZ;International Business Air
6J;JUB;Jubba Airways
6K;RIT;Asian Spirit
6N;NIN;Niger Airlines
6P;ISG;Club Air
6Q;SLL;Slovak Airlines
6R;DRU;Alrosa Air Company
6U;ACX;Air Cargo Germany
6V;VGA;Air Vegas
6W;SOV;Saratov Airlines Joint Stock Company
6Y;ART;Smartlynx Airlines
6Z;UKS;Ukrainian Cargo Airways
7A;XRC;Express Air Cargo
7B;KJC;Krasnojarsky Airlines
7C;COY;Coyne Aviation
7E;AWU;Sylt Air GmbH
7F;FAB;First Air
7G;SFJ;Star Flyer
7K;KGL;Kogalymavia Air Company
7L;AZG;Silk Way West Airlines
7M;MYI;Mayair
7N;PWD;Pawa Dominicana
7O;GAL;Galaxy Air
7O[33];TVL;Travel Service
7R;BRB;BRA-Transportes Aéreos
7S;RCT;Ryan Air Service
7T;AGV;Air Glaciers
7W;QGA;Windrose Air
8A;BMM;Atlas Blue
8B;GFI;Caribbean Star Airlines
8C;ATN;Air Transport International
8D;EXV;FitsAir
8D*;SUW;Astair
8E;BRG;Bering Air
8F;FFR;Fischer Air
8H;BGH;BH Air
8J;KMV;Komiinteravia
8L;CGP;Cargo Plus Aviation
8M;MXL;Maxair
8N;NKF;Barents AirLink
8O;YWZ;West Coast Air
8P;PCO;Pacific Coastal Airlines
8Q;OHY;Onur Air
8Q*;BAJ;Baker Aviation
8T;TID;Air Tindi
8U;AAW;Afriqiyah Airways
8V;ACP;Astral Aviation
8W;EDR;Fly All Ways
8Y;PBU;Air Burundi
8Z;WVL;Wizz Air Bulgaria
9A;EZX;Eagle Express Air Charter
9C;CQH;Spring Airlines
9E;FLG;Pinnacle Airlines
9I;LLR;Alliance Air
9K;KAP;Cape Air
9L;CJC;Colgan Air
9M;GLR;Central Mountain Air
9Q;PBA;PB Air
9R;VAP;Phuket Air
9T;ABS;Transwest Air
9U;MLD;Air Moldova
9V;VPA;Vipair Airlines
9W;JAI;Jet Airways
9Y;FGE;Fly Georgia
A0;MCJ;Avianca Argentina
A2;AZI;Astra Airlines
A3;AEE;Aegean Airlines
A4;SWD;Southern Winds Airlines
A5;RLA;Airlinair
A6;LPV;Air Alps Aviation
A7;MPD;Air Plus Comet
A8;XAU;Aerolink Uganda
A9;TGZ;Georgian Airways
AA;AAL;American Airlines
AB;BER;Air Berlin
AC;ACA;Air Canada
AD;PRZ;Air Paradise International
AE;AE;Air Ceylon
AF;AFR;Air France
AG;ARU;Aruba Airlines
AH;DAH;Air Algérie
AI;AIC;Air India Limited
AJ;NIG;Aero Contractors
AK;AXM;AirAsia
AL;SYX;Skywalk Airlines
AM;AMX;Aeroméxico
AN;AAA;Ansett Australia
AO;AUZ;Australian Airlines
AP;ADH;Air One
AQ;AAH;Aloha Airlines
AR;ARG;Aerolíneas Argentinas
AS;ASA;Alaska Airlines, Inc.
AT;RAM;Royal Air Maroc
AU;AUT;Austral Líneas Aéreas
AV;AVA;Avianca
AW;AFW;Africa World Airlines
AX;—;AmericanConnection[5]
AY;FIN;Finnair
AZ;AZA;Alitalia
B2;BRU;Belavia Belarusian Airlines
B3;BLV;Bellview Airlines
B4;BCF;BACH Flugbetriebsges
B5;FLT;Flightline
B6;JBU;JetBlue Airways
B8;ERT;Eritrean Airlines
B9;BGD;Air Bangladesh
BA;BAW;British Airways
BB;SBS;Seaborne Airlines
BC;SKY;Skymark Airlines
BD;BMA;BMI
BE;BEE;Flybe
BF;RSR;Aero-Service
BG;BBC;Biman Bangladesh Airlines
BI;RBA;Royal Brunei Airlines
BJ;LBT;Nouvel Air Tunisie
BK;PDC;Potomac Air
BL;PIC;Pacific Airlines
BN;BNF;Braniff International Airways
BO;BBD;Bluebird Nordic
BP;BOT;Air Botswana
BQ;ROM;Aeromar Lineas Aereas Dominicanas
BR;EVA;EVA Air
BS;BIH;British International Helicopters
BT;BTI;Air Baltic
BU;BUN;Buryat Airlines Aircompany
BV;BPA;Blue Panorama Airlines
BW;BWA;Caribbean Airlines
BX;ABL;Air Busan
BY;TOM;Thomson Airways
BZ;BDA;Blue Dart Aviation
C3;IPR;Independent Carrier (ICAR)
C4;IMX;Zimex Aviation
C5;UCA;CommutAir
C6;CJA;CanJet
C7;CIN;Cinnamon Air
C8;ICV;Cargolux Italia
C9;RUS;Cirrus Airlines
CA;CCA;Air China
CB*;KFS;Kalitta Charters II
CC;ABD;Air Atlanta Icelandic
CD;CND;Corendon Dutch Airlines
CE;NTW;Nationwide Airlines
CF;SDR;City Airline
CG;TOK;Airlines PNG
CI;CAL;China Airlines
CJ;CFE;BA CityFlyer
CK;CKK;China Cargo Airlines
CL;CLH;Lufthansa CityLine
CM;CMP;Copa Airlines
CO;COA;Continental Airlines
CP;CDN;Canadian Airlines
CQ;CCW;Central Charter
CS;CMI;Continental Micronesia
CT;CAT;Civil Air Transport
CU;CUB;Cubana de Aviación
CV;CVA;Air Chathams
CW;CWM;Air Marshall Islands
CX;CPA;Cathay Pacific
CY;CYP;Cyprus Airways
CZ;CSN;China Southern Airlines
D0;DHK;DHL Air Limited
D2;SSF;Severstal Air Company
D3;DAO;Daallo Airlines
D4;LID;Alidaunia
D5;DAU;Dauair
D6;ILN;Interair South Africa
D7;XAX;AirAsia X
D8;IBK;Norwegian Air International (Norway)
D9;DNV;Donavia
DA;GRG;Air Georgia
DB;BZH;Brit Air
DC;GAO;Golden Air
DD;DDL;Danish Air Lines
DE;CFG;Condor Flugdienst
DG;SRQ;Cebgo
DH;DVA;Discovery Airways
DI;BAG;Dba
DJ;WAJ;AirAsia Japan
DK;ELA;Eastland Air
DL;DAL;Delta Air Lines
DO;DOA;Dominicana de Aviación
DP;FCA;First Choice Airways
DS;EZS;easyJet Switzerland
DT;DTA;TAAG Angola Airlines
DU;NLH;Norwegian Long Haul
DV;LTF;Lufttaxi Fluggesellschaft
DW;UCR;Aero-Charter Ukraine
DX;DTR;DAT Danish Air Transport
DY;NAX;Norwegian Air Shuttle
E0;ESS;Eos Airlines
E2;KMP;Kampuchea Airlines
E3;DMO;Domodedovo Airlines
E4;RSO;Aero Asia International
E5;BRZ;Samara Airlines
E7;ESF;Estafeta Carga Aérea
E8;ELG;Alpi Eagles
E9;CXS;Boston-Maine Airways
EA;EAL;Eastern Air Lines
EC;TWN;Avialeasing Aviation Company
ED*;ABQ;Airblue
EE;EAY;Aero Airlines
