6:05;LH2277;Munich (MUC);Lufthansa ;A319 (D-AILY) ;Departed 06:24;Departure
6:20;AF6203;Paris (ORY);Air France ;A320 (F-HBNF) ;Departed 06:27;Departure
6:25;KL1250;Amsterdam (AMS);KLM ;E190 (PH-EZK) ;Departed 06:36;Departure
6:30;U24062;Paris (ORY);easyJet ;A320 (OE-IJL) ;Departed 06:29;Departure
6:50;A54201;Lyon (LYS);Air France ;A319 (F-GRHX) ;Departed 06:53;Departure
6:50;LX565;Zurich (ZRH);Swiss ;BCS3 (HB-JCD) ;Departed 07:12;Departure
7:00;AF6205;Paris (ORY);Air France ;A320 (F-HBNC) ;Departed 07:28;Departure
7:00;U21378;Geneva (GVA);easyJet ;A320 (OE-IVT) ;Departed 07:07;Departure
7:00;U21661;Naples (NAP);easyJet ;A320 (G-EZRP) ;Departed 07:02;Departure
7:05;AF7711;Paris (CDG);Air France ;A321 (F-GTAO) ;Departed 07:10;Departure
7:10;LH1069;Frankfurt (FRA);Lufthansa (Star Alliance Livery) ;A319 (D-AILF) ;Departed 07:18;Departure
7:10;U21655;Tel Aviv (TLV);easyJet ;A320 (OE-IJU) ;Departed 07:43;Departure
7:10;U21679;Lille (LIL);easyJet ;A20N (G-UZHO) ;Departed 07:32;Departure
7:45;BA341;London (LHR);British Airways (Olympic Dove Livery) ;A319 (G-EUPH) ;Departed 07:55;Departure
8:10;EW2421;Stuttgart (STR);Eurowings ;A320 (D-ABZK) ;Departed 08:21;Departure
8:30;W62264;Budapest (BUD);Wizz Air ;A321 (HA-LXN) ;Departed 08:41;Departure
8:43;HS488;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
8:44;HS489;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
8:44;W25101;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
8:45;AF6207;Paris (ORY);Air France ;A320 (F-HBNJ) ;Departed 08:48;Departure
8:45;W25103;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
8:50;XK101;Ajaccio (AJA);Air Corsica ;AT75 (F-GRPJ) ;Departed 08:52;Departure
8:55;W61350;Warsaw (WAW);Wizz Air ;A321 (HA-LXJ) ;Departed 08:59;Departure
9:00;LH2271;Munich (MUC);Air Dolomiti ;E195 (I-ADJU) ;Departed 09:04;Departure
9:00;U24064;Paris (ORY);easyJet ;A320 (G-EZRV) ;Departed 09:06;Departure
9:10;XK201;Bastia (BIA);Air Corsica ;AT75 (F-GRPZ) ;Unknown;Departure
9:13;HS490;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
9:14;HS491;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
9:14;W25105;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
9:15;VY1516;Barcelona (BCN);Vueling ;A320 (EC-LVT) ;Departed 10:00;Departure
9:15;W25107;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
9:30;U27926;Amsterdam (AMS);easyJet ;A319 (OE-LQE) ;Departed 09:30;Departure
9:35;U23992;Paris (CDG);easyJet ;A320 (OE-ICJ) ;Departed 09:43;Departure
9:40;AF7705;Paris (CDG);Air France ;A321 (F-GTAZ) ;Departed 09:58;Departure
9:40;U28350;London (LGW);easyJet ;A319 (G-EZAL) ;Departed 09:51;Departure
9:43;HS492;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
9:44;HS493;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
9:44;W25109;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
9:45;W25111;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
